"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","16","6","2","1","6.948601","0","16"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","16","3","1","1","3.193413","0","8"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","16","3","1","1","2.317300","0","8"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","16","6","1","1","3.752350","0","26"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","16","5","1","1","3.263821","0","19"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","16","4","4","1","3.771210","0","7"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","16","26","1","1","15.677130","0","320"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","16","10","2","1","5.525741","0","54"
"/Engine/VREditor/TransformGizmo/Xray.Xray","16","14","1","1","8.956329","0","116"
"/Engine/VREditor/TransformGizmo/Main.Main","16","3","1","1","2.004523","0","8"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","16","3","1","1","1.941724","0","8"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","16","3","1","1","1.891242","0","8"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","16","26","1","1","17.327936","0","96"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","16","35","1","1","17.743843","0","206"
"/Engine/EngineSky/M_SimpleSkyDome.M_SimpleSkyDome","16","4","1","1","2.307350","0","10"
"/Game/Assets/Materials/EmissionTransparent.EmissionTransparent","16","22","1","1","45.007706","0","114"
"/Game/GoodSky/Resource/ArrowTool/M_GoodSky_Sun_Emissive.M_GoodSky_Sun_Emissive","16","3","3","1","1.887424","0","3"
"/Game/Assets/Materials/Material.Material","16","22","1","1","45.703960","0","65"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","16","35","1","1","24.541290","0","104"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","16","35","1","1","24.641815","0","132"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","16","35","1","1","25.321840","0","113"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","16","28","1","1","18.250935","0","109"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","16","5","1","1","2.926923","0","14"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","16","7","1","1","3.843082","0","18"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","16","4","4","1","2.323122","0","4"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","16","4","1","1","1.986010","0","11"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","16","50","21","6","28.307133","0","130"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","16","66","1","1","107.197983","0","236"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","16","6","1","1","3.183411","0","17"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","16","87","1","1","59.792377","0","392"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","16","127","1","1","96.978416","0","670"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","16","617","2","1","395.288849","0","8812"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","16","28","3","1","20.495962","0","147"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","16","4","4","1","2.290838","0","5"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","16","4","4","1","3.244205","0","7"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","16","35","35","1","26.973665","0","54"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","16","4","4","1","2.585443","0","5"
"/Game/Assets/Materials/coffeeMugEMPTY.coffeeMugEMPTY","16","14","1","1","9.584609","0","55"
"/Game/Assets/Materials/coffeePlateM.coffeePlateM","16","14","1","1","9.491779","0","53"
"/Game/EF_FirstFloor/Common/MasterMaterial/Master_Glass_Mat.Master_Glass_Mat","16","114","6","2","242.702576","0","401"
"/Game/GoodSky/Resource/ArrowTool/M_GoodSky_SkyRing_.M_GoodSky_SkyRing_","16","16","1","1","8.593141","0","46"
"/Game/Assets/Materials/GrindrBody.GrindrBody","16","14","1","1","9.527994","0","41"
"/Game/EF_FirstFloor/Common/MasterMaterial/Master_WorldMaterial_Mat.Master_WorldMaterial_Mat","16","70","19","2","53.142181","0","220"
"/Game/EF_FirstFloor/Common/MasterMaterial/Master_Props_Mat.Master_Props_Mat","16","246","7","3","184.780273","0","1450"
"/Game/GoodSky/Resource/Materials/M_GoodSky_Sun_Stars.M_GoodSky_Sun_Stars","16","4","4","1","2.393708","0","7"
"/Game/GoodSky/Resource/Materials/M_GoodSky_Base.M_GoodSky_Base","16","4","4","1","2.418445","0","4"
"/Game/GoodSky/Resource/Materials/M_GoodSky_Moon.M_GoodSky_Moon","16","4","4","1","2.452260","0","4"
"/Game/GoodSky/Resource/Materials/M_GoodSky_Sun_Stars_Moon.M_GoodSky_Sun_Stars_Moon","16","4","4","1","2.425450","0","4"
"/Game/GoodSky/Resource/Materials/M_GoodSky_Storm.M_GoodSky_Storm","16","4","4","1","2.473347","0","4"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","16","0","7","1","0.000000","0","0"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","16","0","18","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","16","0","4","1","0.000000","0","0"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","16","0","42","2","0.000000","0","0"
"/ControlRig/M_Manip.M_Manip","16","0","7","1","0.000000","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","16","0","58","1","0.000000","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","16","0","84","1","0.000000","0","0"
